日期,pe_percentile
2005-04-11,
2005-04-18,
2005-04-25,
2005-05-02,
2005-05-09,
2005-05-16,
2005-05-23,
2005-05-30,
2005-06-06,
2005-06-13,
2005-06-20,
2005-06-27,
2005-07-04,
2005-07-11,
2005-07-18,
2005-07-25,
2005-08-01,
2005-08-08,
2005-08-15,
2005-08-22,
2005-08-29,
2005-09-05,
2005-09-12,
2005-09-19,
2005-09-26,
2005-10-03,
2005-10-10,
2005-10-17,
2005-10-24,
2005-10-31,
2005-11-07,
2005-11-14,
2005-11-21,
2005-11-28,
2005-12-05,
2005-12-12,
2005-12-19,
2005-12-26,
2006-01-02,
2006-01-09,
2006-01-16,
2006-01-23,
2006-01-30,
2006-02-06,
2006-02-13,
2006-02-20,
2006-02-27,
2006-03-06,
2006-03-13,
2006-03-20,
2006-03-27,
2006-04-03,
2006-04-10,
2006-04-17,
2006-04-24,
2006-05-01,100.0
2006-05-08,100.0
2006-05-15,100.0
2006-05-22,100.0
2006-05-29,99.625468164794
2006-06-05,97.42647058823528
2006-06-12,97.11191335740072
2006-06-19,91.48936170212764
2006-06-26,91.98606271777004
2006-07-03,93.15068493150685
2006-07-10,96.29629629629628
2006-07-17,97.682119205298
2006-07-24,89.90228013029315
2006-07-31,100.0
2006-08-07,97.79179810725552
2006-08-14,93.7888198757764
2006-08-21,95.71865443425077
2006-08-28,92.7710843373494
2006-09-04,94.65875370919882
2006-09-11,96.19883040935672
2006-09-18,95.67723342939482
2006-09-25,98.01136363636364
2006-10-02,97.75910364145658
2006-10-09,98.61495844875348
2006-10-16,99.4475138121547
2006-10-23,96.45776566757492
2006-10-30,93.81720430107528
2006-11-06,91.77718832891246
2006-11-13,89.79057591623037
2006-11-20,100.0
2006-11-27,100.0
2006-12-04,99.74811083123426
2006-12-11,99.75124378109452
2006-12-18,99.01719901719902
2006-12-25,100.0
2007-01-01,99.04076738609112
2007-01-08,100.0
2007-01-15,99.52830188679243
2007-01-22,98.6013986013986
2007-01-29,99.30875576036864
2007-02-05,99.54441913439636
2007-02-12,98.1981981981982
2007-02-19,97.9955456570156
2007-02-26,99.33774834437084
2007-03-05,99.11894273127754
2007-03-12,96.73202614379085
2007-03-19,97.84482758620688
2007-03-26,97.86780383795308
2007-04-02,95.35864978902954
2007-04-09,97.4947807933194
2007-04-16,96.48760330578511
2007-04-23,98.97750511247445
2007-04-30,92.3076923076923
2007-05-07,91.18236472945893
2007-05-14,
2007-05-21,98.4126984126984
2007-05-28,100.0
2007-06-04,99.80544747081711
2007-06-11,98.84393063583816
2007-06-18,97.90076335877863
2007-06-25,99.4328922495274
2007-07-02,98.31460674157304
2007-07-09,93.69202226345084
2007-07-16,93.56617647058825
2007-07-23,97.632058287796
2007-07-30,99.45848375451264
2007-08-06,99.6422182468694
2007-08-13,100.0
2007-08-20,99.82425307557118
2007-08-27,98.25783972125436
2007-09-03,97.58203799654576
2007-09-10,95.8904109589041
2007-09-17,95.41595925297112
2007-09-24,96.12794612794612
2007-10-01,97.66277128547578
2007-10-08,97.01492537313432
2007-10-15,98.17880794701986
2007-10-22,99.83579638752052
2007-10-29,99.0228013029316
2007-11-05,97.25363489499192
2007-11-12,96.15384615384616
2007-11-19,89.1891891891892
2007-11-26,88.64353312302839
2007-12-03,87.48043818466354
2007-12-10,85.71428571428571
2007-12-17,88.59784283513096
2007-12-24,86.08562691131499
2007-12-31,87.4051593323217
2008-01-07,91.70437405731523
2008-01-14,94.30284857571212
2008-01-21,95.08928571428572
2008-01-28,88.18316100443131
2008-02-04,79.76539589442815
2008-02-11,67.54002911208151
2008-02-18,77.76162790697676
2008-02-25,72.97687861271676
2008-03-03,66.71449067431851
2008-03-10,65.8119658119658
2008-03-17,63.7906647807638
2008-03-24,60.39325842696629
2008-03-31,59.13528591352859
2008-04-07,58.17174515235457
2008-04-14,58.1267217630854
2008-04-21,58.27633378932968
2008-04-28,55.57065217391305
2008-05-05,57.89473684210527
2008-05-12,58.87096774193549
2008-05-19,57.543391188251
2008-05-26,57.55968169761273
2008-06-02,55.20421607378129
2008-06-09,54.84293193717278
2008-06-16,53.645833333333336
2008-06-23,50.58214747736093
2008-06-30,50.38560411311054
2008-07-07,49.42528735632184
2008-07-14,49.11167512690356
2008-07-21,50.81967213114754
2008-07-28,49.87468671679198
2008-08-04,51.18306351183064
2008-08-11,49.87623762376238
2008-08-18,44.895448954489545
2008-08-25,37.65281173594132
2008-09-01,34.143377885783714
2008-09-08,33.21256038647343
2008-09-15,30.85234093637455
2008-09-22,29.03225806451613
2008-09-29,28.85985748218528
2008-10-06,32.269503546099294
2008-10-13,32.231404958677686
2008-10-20,25.23474178403756
2008-10-27,21.00350058343057
2008-11-03,11.60092807424594
2008-11-10,4.1522491349480966
2008-11-17,6.9954128440366965
2008-11-24,25.313568985176737
2008-12-01,22.90249433106576
2008-12-08,13.86696730552424
2008-12-15,26.90582959641256
2008-12-22,21.516164994425864
2008-12-29,25.388026607538805
2009-01-05,11.466372657111355
2009-01-12,8.791208791208792
2009-01-19,14.754098360655735
2009-01-26,22.065217391304348
2009-02-02,26.83982683982684
2009-02-09,25.405405405405407
2009-02-16,35.913978494623656
2009-02-23,38.18181818181819
2009-03-02,37.340425531914896
2009-03-09,32.592592592592595
2009-03-16,36.10526315789473
2009-03-23,34.76439790575917
2009-03-30,39.58333333333333
2009-04-06,41.865284974093264
2009-04-13,43.75644994840041
2009-04-20,45.07186858316221
2009-04-27,49.23391215526047
2009-05-04,51.72764227642277
2009-05-11,54.55465587044535
2009-05-18,58.20745216515609
2009-05-25,58.91783567134269
2009-06-01,57.52741774675973
2009-06-08,58.25049701789264
2009-06-15,61.52324431256182
2009-06-22,61.31889763779528
2009-06-29,63.761018609206666
2009-07-06,64.32748538011695
2009-07-13,65.37342386032978
2009-07-20,65.34749034749035
2009-07-27,66.28242074927954
2009-08-03,69.02485659655831
2009-08-10,69.93339676498572
2009-08-17,66.5719696969697
2009-08-24,62.95947219604147
2009-08-31,62.38273921200751
2009-09-07,58.82352941176471
2009-09-14,58.7360594795539
2009-09-21,60.77705827937096
2009-09-28,60.03683241252303
2009-10-05,57.28689275893676
2009-10-12,55.718206770356815
2009-10-19,59.72602739726028
2009-10-26,60.63636363636363
2009-11-02,63.710407239819
2009-11-09,59.36936936936937
2009-11-16,63.408071748878925
2009-11-23,63.92857142857142
2009-11-30,64.8
2009-12-07,60.08849557522124
2009-12-14,65.1101321585903
2009-12-21,63.85964912280701
2009-12-28,60.349344978165945
2010-01-04,60.86956521739131
2010-01-11,65.25129982668977
2010-01-18,63.0716134598792
2010-01-25,62.19931271477663
2010-02-01,58.59709153122326
2010-02-08,54.94037478705282
2010-02-15,53.01102629346904
2010-02-22,54.69146238377007
2010-03-01,55.74324324324324
2010-03-08,55.67703952901598
2010-03-15,54.69011725293132
2010-03-22,53.044203502919096
2010-03-29,54.734219269102994
2010-04-05,52.68817204301075
2010-04-12,53.17394888705689
2010-04-19,51.14942528735632
2010-04-26,50.04088307440719
2010-05-03,45.11400651465798
2010-05-10,35.714285714285715
2010-05-17,30.962004850444625
2010-05-24,31.64251207729469
2010-05-31,30.473135525260624
2010-06-07,31.230031948881788
2010-06-14,28.878281622911693
2010-06-21,28.49206349206349
2010-06-28,27.936507936507937
2010-07-05,29.20634920634921
2010-07-12,25.71428571428571
2010-07-19,27.460317460317462
2010-07-26,26.031746031746035
2010-08-02,30.952380952380956
2010-08-09,31.507936507936503
2010-08-16,31.428571428571427
2010-08-23,28.809523809523807
2010-08-30,28.88888888888889
2010-09-06,24.126984126984127
2010-09-13,23.09523809523809
2010-09-20,22.936507936507937
2010-09-27,20.555555555555557
2010-10-04,20.634920634920636
2010-10-11,20.873015873015877
2010-10-18,25.555555555555557
2010-10-25,34.04761904761905
2010-11-01,33.88888888888889
2010-11-08,30.952380952380956
2010-11-15,32.77777777777778
2010-11-22,28.88888888888889
2010-11-29,23.65079365079365
2010-12-06,22.142857142857142
2010-12-13,21.984126984126984
2010-12-20,21.746031746031747
2010-12-27,24.365079365079364
2011-01-03,21.58730158730159
2011-01-10,18.253968253968253
2011-01-17,24.20634920634921
2011-01-24,21.825396825396822
2011-01-31,15.873015873015872
2011-02-07,18.015873015873016
2011-02-14,20.396825396825395
2011-02-21,21.26984126984127
2011-02-28,26.190476190476197
2011-03-07,23.96825396825397
2011-03-14,28.57142857142857
2011-03-21,27.3015873015873
2011-03-28,20.793650793650794
2011-04-04,26.34920634920635
2011-04-11,17.46031746031746
2011-04-18,25.0
2011-04-25,26.58730158730159
2011-05-02,19.52380952380953
2011-05-09,10.793650793650794
2011-05-16,5.476190476190476
2011-05-23,5.317460317460317
2011-05-30,5.079365079365079
2011-06-06,2.857142857142857
2011-06-13,2.619047619047619
2011-06-20,2.619047619047619
2011-06-27,1.5873015873015872
2011-07-04,5.238095238095238
2011-07-11,6.349206349206349
2011-07-18,7.142857142857142
2011-07-25,7.777777777777778
2011-08-01,6.190476190476191
2011-08-08,3.968253968253968
2011-08-15,1.507936507936508
2011-08-22,1.4285714285714286
2011-08-29,0.5555555555555556
2011-09-05,0.873015873015873
2011-09-12,0.0793650793650793
2011-09-19,0.2380952380952381
2011-09-26,0.3968253968253968
2011-10-03,0.0793650793650793
2011-10-10,0.0793650793650793
2011-10-17,0.0793650793650793
2011-10-24,1.0317460317460316
2011-10-31,0.0793650793650793
2011-11-07,1.1111111111111112
2011-11-14,2.2222222222222223
2011-11-21,1.1111111111111112
2011-11-28,0.0793650793650793
2011-12-05,0.0793650793650793
2011-12-12,0.2380952380952381
2011-12-19,0.1587301587301587
2011-12-26,0.1587301587301587
2012-01-02,0.3968253968253968
2012-01-09,0.3174603174603174
2012-01-16,1.0317460317460316
2012-01-23,1.5873015873015872
2012-01-30,2.9365079365079363
2012-02-06,3.492063492063492
2012-02-13,3.888888888888889
2012-02-20,4.365079365079365
2012-02-27,4.444444444444445
2012-03-05,6.984126984126984
2012-03-12,8.253968253968253
2012-03-19,6.825396825396825
2012-03-26,5.873015873015873
2012-04-02,3.8095238095238098
2012-04-09,1.8253968253968256
2012-04-16,3.650793650793651
2012-04-23,6.031746031746032
2012-04-30,8.492063492063492
2012-05-07,8.333333333333332
2012-05-14,9.206349206349207
2012-05-21,5.079365079365079
2012-05-28,2.380952380952381
2012-06-04,1.984126984126984
2012-06-11,4.047619047619048
2012-06-18,1.507936507936508
2012-06-25,1.984126984126984
2012-07-02,1.3492063492063493
2012-07-09,1.0317460317460316
2012-07-16,2.0634920634920637
2012-07-23,1.4285714285714286
2012-07-30,0.3174603174603174
2012-08-06,0.1587301587301587
2012-08-13,0.7936507936507936
2012-08-20,1.5873015873015872
2012-08-27,0.0793650793650793
2012-09-03,0.0793650793650793
2012-09-10,0.0793650793650793
2012-09-17,0.9523809523809524
2012-09-24,1.1111111111111112
2012-10-01,0.1587301587301587
2012-10-08,1.1111111111111112
2012-10-15,1.507936507936508
2012-10-22,2.0634920634920637
2012-10-29,3.095238095238096
2012-11-05,1.0317460317460316
2012-11-12,2.0634920634920637
2012-11-19,1.1111111111111112
2012-11-26,0.0793650793650793
2012-12-03,0.4761904761904762
2012-12-10,0.2380952380952381
2012-12-17,3.015873015873016
2012-12-24,7.063492063492063
2012-12-31,7.063492063492063
2013-01-07,11.190476190476192
2013-01-14,12.777777777777777
2013-01-21,11.825396825396824
2013-01-28,14.285714285714285
2013-02-04,13.968253968253968
2013-02-11,24.126984126984127
2013-02-18,23.015873015873016
2013-02-25,24.285714285714285
2013-03-04,14.126984126984128
2013-03-11,17.38095238095238
2013-03-18,13.968253968253968
2013-03-25,12.61904761904762
2013-04-01,15.95238095238095
2013-04-08,8.73015873015873
2013-04-15,9.206349206349207
2013-04-22,8.015873015873016
2013-04-29,11.507936507936508
2013-05-06,7.063492063492063
2013-05-13,5.238095238095238
2013-05-20,7.380952380952381
2013-05-27,9.761904761904765
2013-06-03,9.682539682539684
2013-06-10,10.07936507936508
2013-06-17,6.428571428571428
2013-06-24,2.4603174603174605
2013-07-01,0.0793650793650793
2013-07-08,0.3968253968253968
2013-07-15,0.7936507936507936
2013-07-22,1.1904761904761905
2013-07-29,0.6349206349206349
2013-08-05,0.9523809523809524
2013-08-12,1.746031746031746
2013-08-19,2.142857142857143
2013-08-26,2.6984126984126986
2013-09-02,1.3492063492063493
2013-09-09,0.873015873015873
2013-09-16,2.2222222222222223
2013-09-23,6.031746031746032
2013-09-30,4.365079365079365
2013-10-07,3.095238095238096
2013-10-14,
2013-10-21,5.714285714285714
2013-10-28,4.365079365079365
2013-11-04,1.1904761904761905
2013-11-11,0.6349206349206349
2013-11-18,0.2380952380952381
2013-11-25,0.9523809523809524
2013-12-02,2.7777777777777777
2013-12-09,4.206349206349207
2013-12-16,5.476190476190476
2013-12-23,2.2222222222222223
2013-12-30,0.1587301587301587
2014-01-06,1.0317460317460316
2014-01-13,0.4761904761904762
2014-01-20,0.0793650793650793
2014-01-27,0.0793650793650793
2014-02-03,0.873015873015873
2014-02-10,1.0317460317460316
2014-02-17,0.5555555555555556
2014-02-24,2.2222222222222223
2014-03-03,1.8253968253968256
2014-03-10,0.5555555555555556
2014-03-17,0.3968253968253968
2014-03-24,0.3174603174603174
2014-03-31,1.1111111111111112
2014-04-07,1.2698412698412698
2014-04-14,1.6666666666666667
2014-04-21,5.873015873015873
2014-04-28,4.047619047619048
2014-05-05,1.9047619047619049
2014-05-12,0.4761904761904762
2014-05-19,0.2380952380952381
2014-05-26,1.0317460317460316
2014-06-02,1.4285714285714286
2014-06-09,2.142857142857143
2014-06-16,1.5873015873015872
2014-06-23,4.206349206349207
2014-06-30,3.650793650793651
2014-07-07,3.571428571428571
2014-07-14,5.555555555555555
2014-07-21,3.015873015873016
2014-07-28,3.968253968253968
2014-08-04,9.841269841269842
2014-08-11,12.93650793650794
2014-08-18,12.93650793650794
2014-08-25,13.88888888888889
2014-09-01,13.730158730158731
2014-09-08,10.555555555555555
2014-09-15,14.841269841269842
2014-09-22,15.714285714285714
2014-09-29,15.0
2014-10-06,15.317460317460318
2014-10-13,16.03174603174603
2014-10-20,17.46031746031746
2014-10-27,15.0
2014-11-03,12.142857142857142
2014-11-10,18.96825396825397
2014-11-17,16.666666666666664
2014-11-24,25.07936507936508
2014-12-01,24.047619047619047
2014-12-08,35.0
2014-12-15,55.87301587301587
2014-12-22,53.80952380952381
2014-12-29,63.41269841269841
2015-01-05,64.44444444444444
2015-01-12,65.39682539682539
2015-01-19,66.11111111111111
2015-01-26,69.04761904761905
2015-02-02,67.53968253968254
2015-02-09,65.23809523809524
2015-02-16,63.57142857142857
2015-02-23,65.95238095238095
2015-03-02,66.11111111111111
2015-03-09,67.38095238095238
2015-03-16,65.63492063492063
2015-03-23,68.41269841269842
2015-03-30,73.96825396825398
2015-04-06,75.31746031746032
2015-04-13,77.38095238095238
2015-04-20,87.14285714285714
2015-04-27,94.2063492063492
2015-05-04,94.6031746031746
2015-05-11,94.68253968253968
2015-05-18,91.11111111111111
2015-05-25,91.98412698412696
2015-06-01,96.26984126984128
2015-06-08,95.15873015873017
2015-06-15,98.25396825396824
2015-06-22,98.57142857142858
2015-06-29,97.6984126984127
2015-07-06,87.46031746031746
2015-07-13,75.39682539682539
2015-07-20,89.92063492063492
2015-07-27,86.42857142857143
2015-08-03,85.0
2015-08-10,74.68253968253968
2015-08-17,75.47619047619048
2015-08-24,77.06349206349206
2015-08-31,67.85714285714286
2015-09-07,63.650793650793645
2015-09-14,64.76190476190476
2015-09-21,63.650793650793645
2015-09-28,62.38095238095238
2015-10-05,61.11111111111112
2015-10-12,56.98412698412698
2015-10-19,64.20634920634922
2015-10-26,67.38095238095238
2015-11-02,68.25396825396825
2015-11-09,69.52380952380952
2015-11-16,73.17460317460316
2015-11-23,72.61904761904762
2015-11-30,73.09523809523809
2015-12-07,68.80952380952381
2015-12-14,71.58730158730158
2015-12-21,70.07936507936508
2015-12-28,76.11111111111111
2016-01-04,77.6984126984127
2016-01-11,74.12698412698413
2016-01-18,65.87301587301587
2016-01-25,54.84126984126985
2016-02-01,55.00000000000001
2016-02-08,45.31746031746032
