mom_w,vol_w,val_w,top_n,defensive_allocation,total_return,annual_return,max_drawdown,defensive_weeks,total_weeks
0.2,0.6,0.1,2,0.55,3.159847366539376,0.11625302223666956,-0.12330799401092087,53,674
0.3,0.6,0.0,2,0.55,3.100585118170489,0.11501798936925867,-0.10953231064207414,28,674
0.2,0.4,0.0,2,0.55,3.100585118170489,0.11501798936925867,-0.10953231064207414,28,674
0.2,0.5,0.0,2,0.55,3.0913596413358713,0.11482424924453483,-0.10953231064207479,28,674
0.2,0.6,0.0,2,0.55,3.0323334414120957,0.11357503947237091,-0.1095323106420742,28,674
0.2,0.5,0.1,2,0.55,2.9657817616436093,0.11214616018924106,-0.12434935531737015,58,674
0.5,0.6,0.0,2,0.55,2.9269091838255616,0.11130128598419331,-0.10953231064207457,48,674
0.2,0.6,0.1,2,0.6,2.9209802699028407,0.11117174646001549,-0.12729899499054284,54,674
0.3,0.6,0.0,2,0.6,2.9182338707279025,0.11111167972252978,-0.11502377396296207,30,674
0.2,0.4,0.0,2,0.6,2.9182338707279025,0.11111167972252978,-0.11502377396296207,30,674
0.3,0.5,0.1,2,0.55,2.896472840748034,0.110634363997546,-0.12434935531737015,54,674
0.4,0.4,0.0,2,0.55,2.889189112746335,0.11047404997674937,-0.1230051076387836,51,674
0.5,0.5,0.0,2,0.55,2.889189112746335,0.11047404997674937,-0.1230051076387836,51,674
0.2,0.2,0.0,2,0.55,2.889189112746335,0.11047404997674937,-0.1230051076387836,51,674
0.3,0.3,0.0,2,0.55,2.889189112746335,0.11047404997674937,-0.1230051076387836,51,674
0.6,0.6,0.0,2,0.55,2.889189112746335,0.11047404997674937,-0.1230051076387836,51,674
0.4,0.5,0.1,2,0.55,2.8827892952935525,0.1103329618830029,-0.1243493553173699,54,674
0.3,0.6,0.1,2,0.55,2.871346288445829,0.11008015766690793,-0.13207091362868595,75,674
0.3,0.5,0.0,2,0.55,2.8588296632296863,0.10980284367717519,-0.10953231064207494,40,674
0.2,0.5,0.0,2,0.6,2.8479810705940736,0.10956181367416984,-0.11502377396296168,34,674
0.2,0.3,0.0,2,0.55,2.8431442821611044,0.10945414952020482,-0.11596722780191077,51,674
0.4,0.6,0.0,2,0.55,2.8431442821611044,0.10945414952020482,-0.11596722780191077,51,674
0.3,0.5,0.0,2,0.6,2.842814241440012,0.10944679844520211,-0.11502377396296189,34,674
0.3,0.4,0.0,2,0.55,2.8341400678058206,0.1092533873402477,-0.11596722780191142,55,674
0.2,0.4,0.1,2,0.55,2.825462371085914,0.10905949320562036,-0.12263572321760423,60,674
0.3,0.6,0.2,2,0.55,2.8135901112229003,0.10879356128927298,-0.1474727824024422,70,674
0.3,0.4,0.1,2,0.55,2.8110605516466483,0.10873680186261603,-0.14747278240244216,68,674
0.4,0.5,0.0,2,0.55,2.7991116910634806,0.10846821691954789,-0.11596722780191103,55,674
0.2,0.6,0.0,2,0.6,2.7975043757494675,0.1084320284255722,-0.11502377396296218,34,674
0.2,0.5,0.1,2,0.6,2.754028901581327,0.10744778254840348,-0.13195576393263717,62,674
0.3,0.3,0.0,2,0.6,2.7211554249257746,0.10669654741941614,-0.12730388105577845,53,674
0.4,0.4,0.0,2,0.6,2.7211554249257746,0.10669654741941614,-0.12730388105577845,53,674
0.6,0.6,0.0,2,0.6,2.7211554249257746,0.10669654741941614,-0.12730388105577845,53,674
0.2,0.2,0.0,2,0.6,2.7211554249257746,0.10669654741941614,-0.12730388105577845,53,674
0.5,0.5,0.0,2,0.6,2.7211554249257746,0.10669654741941614,-0.12730388105577845,53,674
0.5,0.6,0.0,2,0.6,2.719993720508688,0.1066698878947534,-0.11502377396296197,48,674
0.2,0.6,0.2,2,0.55,2.717886677312097,0.1066215145291991,-0.14747278240244208,70,674
0.4,0.6,0.2,2,0.55,2.7136088765399853,0.10652322717484397,-0.14747278240244255,73,674
0.2,0.3,0.1,2,0.55,2.7136088765399853,0.10652322717484397,-0.14747278240244255,73,674
0.2,0.6,0.1,2,0.65,2.704747788139782,0.10631930074257667,-0.1347927358946035,55,674
0.4,0.5,0.1,2,0.6,2.700145247838996,0.10621320157601666,-0.13195576393263703,58,674
0.3,0.5,0.1,2,0.6,2.696804113807833,0.10613610440770582,-0.13195576393263717,58,674
0.4,0.6,0.1,2,0.55,2.696330539458885,0.10612517140590261,-0.1320709136286858,75,674
0.3,0.6,0.0,2,0.65,2.6961957225411974,0.10612205876783332,-0.1205882471634938,38,674
0.2,0.4,0.0,2,0.65,2.6961957225411974,0.10612205876783332,-0.1205882471634938,38,674
0.2,0.5,0.0,2,0.65,2.691669970878033,0.10601750787333875,-0.1205882471634944,38,674
0.5,0.6,0.0,2,0.65,2.691011008902471,0.10600227510954219,-0.12058824716349378,51,674
0.5,0.3,0.0,2,0.55,2.6897329714307254,0.10597272445451744,-0.13207091362868562,71,674
0.2,0.4,0.1,2,0.6,2.6885648666934028,0.10594570738991638,-0.1264506165995078,58,674
0.4,0.6,0.0,2,0.6,2.683574944195932,0.10583020662118647,-0.11502377396296165,42,674
0.2,0.3,0.0,2,0.6,2.683574944195932,0.10583020662118647,-0.11502377396296165,42,674
0.3,0.6,0.1,2,0.6,2.6775406400483748,0.1056903387125172,-0.13491554989013121,84,674
0.5,0.4,0.1,2,0.55,2.665899041939609,0.10541990098676512,-0.1479186416097725,69,674
0.3,0.4,0.0,2,0.6,2.6631457898301383,0.10535582626080187,-0.11502377396296184,49,674
0.6,0.4,0.1,2,0.55,2.6577656775622205,0.10523048986972183,-0.14791864160977258,69,674
0.4,0.4,0.1,2,0.55,2.6521479590481016,0.10509943644812458,-0.14791864160977228,67,674
0.3,0.2,0.0,2,0.55,2.649591494164217,0.10503973613811146,-0.13207091362868562,70,674
0.6,0.4,0.0,2,0.55,2.649591494164217,0.10503973613811146,-0.13207091362868562,70,674
0.2,0.6,0.0,2,0.65,2.642865613675775,0.10488248426730307,-0.12058824716349367,43,674
0.3,0.4,0.0,2,0.65,2.6413095049649242,0.10484606410004593,-0.1205882471634942,51,674
0.3,0.6,0.2,2,0.6,2.6400471243591106,0.10481650797998165,-0.1453187453763073,68,674
0.4,0.5,0.0,2,0.6,2.633474062367252,0.10466245984086187,-0.11502377396296179,49,674
0.3,0.5,0.0,2,0.65,2.6325076025035026,0.10463978793084117,-0.12058824716349394,42,674
0.4,0.3,0.0,2,0.55,2.631899977068799,0.10462553096644478,-0.12405503171791804,58,674
0.5,0.6,0.1,2,0.55,2.6317178898126175,0.10462125814993395,-0.13207091362868545,75,674
0.3,0.4,0.1,2,0.6,2.627845952099326,0.10453035334410288,-0.14531874537630707,68,674
0.5,0.5,0.1,2,0.55,2.6251949527673624,0.10446806190531732,-0.15106334437983543,69,674
0.4,0.5,0.0,2,0.65,2.6155877287018745,0.10424196490019533,-0.12058824716349356,51,674
0.6,0.6,0.0,2,0.65,2.612164908666411,0.10416127807264086,-0.13504756594980016,61,674
0.5,0.5,0.0,2,0.65,2.612164908666411,0.10416127807264086,-0.13504756594980016,61,674
0.2,0.2,0.0,2,0.65,2.612164908666411,0.10416127807264086,-0.13504756594980016,61,674
0.4,0.4,0.0,2,0.65,2.612164908666411,0.10416127807264086,-0.13504756594980016,61,674
0.3,0.3,0.0,2,0.65,2.612164908666411,0.10416127807264086,-0.13504756594980016,61,674
0.4,0.6,0.0,2,0.65,2.6034438173657732,0.10395537466772642,-0.12058824716349371,42,674
0.2,0.3,0.0,2,0.65,2.6034438173657732,0.10395537466772642,-0.12058824716349371,42,674
0.2,0.3,0.1,2,0.6,2.6013339581112613,0.10390549218549383,-0.14531874537630735,69,674
0.4,0.6,0.2,2,0.6,2.6013339581112613,0.10390549218549383,-0.14531874537630735,69,674
0.2,0.6,0.1,2,0.7,2.596613463002518,0.10379378983613607,-0.13837132474599237,48,674
0.5,0.6,0.2,2,0.55,2.593486632057409,0.103719724276228,-0.14747278240244213,76,674
0.6,0.5,0.1,2,0.55,2.5904697850369938,0.10364820752118908,-0.15106334437983582,68,674
0.2,0.5,0.1,2,0.65,2.5832949359543242,0.10347789899906834,-0.13541754439320886,60,674
0.6,0.5,0.0,2,0.55,2.559444459667201,0.10290949245445602,-0.1240550317179176,58,674
0.2,0.6,0.2,2,0.6,2.558273149525487,0.10288148723647761,-0.14531874537630687,68,674
0.5,0.3,0.0,2,0.6,2.551038021554444,0.10270831150364068,-0.13491554989013121,74,674
0.5,0.6,0.2,2,0.6,2.548274798393154,0.102642086693991,-0.1453187453763073,69,674
0.6,0.6,0.1,2,0.55,2.542458058037991,0.10250252405466687,-0.132070913628685,75,674
0.5,0.4,0.0,2,0.55,2.5350979602797667,0.1023256278091389,-0.12405503171791737,58,674
0.2,0.4,0.1,2,0.65,2.529879641119399,0.10220000209999935,-0.13404764163137436,70,674
0.4,0.4,0.1,2,0.6,2.5289335214362927,0.10217720688185183,-0.14687056732980355,69,674
0.4,0.6,0.1,2,0.6,2.5261194584431053,0.10210937325123637,-0.1349155498901314,84,674
0.3,0.5,0.1,2,0.65,2.526023101498689,0.10210704966060069,-0.13541754439320886,60,674
0.5,0.5,0.1,2,0.6,2.5217871491759687,0.10200484422405887,-0.1486358377793464,70,674
0.4,0.5,0.1,2,0.65,2.5201648460339396,0.10196567110214882,-0.13541754439320935,60,674
0.5,0.3,0.1,2,0.55,2.5093773963101,0.10170476624086189,-0.14784138578854256,97,674
0.6,0.4,0.0,2,0.6,2.5080274244687137,0.10167206378188354,-0.13491554989013155,74,674
0.3,0.2,0.0,2,0.6,2.5080274244687137,0.10167206378188354,-0.13491554989013155,74,674
0.5,0.4,0.1,2,0.6,2.5039532142145444,0.10157329741255072,-0.14687056732980383,70,674
0.3,0.6,0.1,2,0.65,2.5005368270408503,0.10149039615944178,-0.13810238053568127,80,674
0.6,0.4,0.1,2,0.6,2.499323512829626,0.10146093619193364,-0.1468705673298038,70,674
0.2,0.5,0.2,2,0.55,2.4939659711320323,0.1013307391815661,-0.1431092507015381,92,674
0.6,0.5,0.1,2,0.6,2.484255639058553,0.10109429197650344,-0.14863583777934652,70,674
0.5,0.3,0.0,2,0.65,2.4819557478151517,0.10103820041133571,-0.13810238053568147,68,674
0.3,0.6,0.0,2,0.7,2.480534611993153,0.10100352353445041,-0.1260564089316789,40,674
0.2,0.4,0.0,2,0.7,2.480534611993153,0.10100352353445041,-0.1260564089316789,40,674
0.2,0.5,0.0,2,0.7,2.478482089742565,0.10095341724109286,-0.12605640893167902,40,674
0.5,0.6,0.0,2,0.7,2.4759035093797137,0.10089043010147591,-0.12605640893167958,59,674
0.4,0.3,0.0,2,0.6,2.474991107910587,0.10086813248633364,-0.132010725410725,57,674
0.5,0.6,0.1,2,0.6,2.473221325927443,0.10082486647104849,-0.13491554989013116,84,674
0.4,0.2,0.0,2,0.55,2.471397831099017,0.10078026604699031,-0.14024536412390323,109,674
0.6,0.3,0.0,2,0.55,2.471397831099017,0.10078026604699031,-0.14024536412390323,109,674
0.6,0.6,0.0,2,0.7,2.465907548350633,0.10064584986663228,-0.13881579780299447,59,674
0.5,0.5,0.0,2,0.7,2.465907548350633,0.10064584986663228,-0.13881579780299447,59,674
0.2,0.2,0.0,2,0.7,2.465907548350633,0.10064584986663228,-0.13881579780299447,59,674
0.4,0.4,0.0,2,0.7,2.465907548350633,0.10064584986663228,-0.13881579780299447,59,674
0.3,0.3,0.0,2,0.7,2.465907548350633,0.10064584986663228,-0.13881579780299447,59,674
0.3,0.3,0.1,2,0.55,2.4628723693449674,0.10057145654742228,-0.14747278240244205,96,674
0.6,0.6,0.2,2,0.55,2.4628723693449674,0.10057145654742228,-0.14747278240244205,96,674
0.6,0.4,0.0,2,0.65,2.4618183373466733,0.10054560777004218,-0.13810238053568122,67,674
0.3,0.2,0.0,2,0.65,2.4618183373466733,0.10054560777004218,-0.13810238053568122,67,674
0.3,0.5,0.2,2,0.55,2.4585466517592782,0.10046532760806892,-0.1447053546123741,94,674
0.3,0.6,0.2,2,0.65,2.4544995382210306,0.10036592307943715,-0.14669758368825953,86,674
0.2,0.5,0.1,2,0.7,2.453401300349899,0.10033892980483539,-0.1390783918266999,70,674
0.3,0.4,0.1,2,0.65,2.453101585689386,0.10033156182791503,-0.14669758368826027,70,674
0.5,0.2,0.0,2,0.55,2.451125320111697,0.10028296390761016,-0.15897403970856286,123,674
0.4,0.3,0.0,2,0.65,2.4448468162002825,0.10012839999008794,-0.13559863557581311,52,674
0.2,0.4,0.1,2,0.7,2.440101393426091,0.10001140479491433,-0.1379159841649828,66,674
0.3,0.4,0.0,2,0.7,2.4357481010405833,0.09990394625127763,-0.12605640893167896,59,674
0.2,0.6,0.1,2,0.75,2.435436483579827,0.09989624933340369,-0.1386887960750821,45,674
0.3,0.6,0.1,2,0.7,2.434233927689232,0.09986654028976627,-0.14146713751426998,72,674
0.3,0.5,0.0,2,0.7,2.4283265848905806,0.0997204603152324,-0.12605640893167924,48,674
0.2,0.2,0.2,2,0.6,2.4256336127203793,0.09965378994102791,-0.17232370765304003,75,674
0.2,0.6,0.0,2,0.7,2.422350085929916,0.09957243363302992,-0.12605640893167894,46,674
0.4,0.3,0.1,2,0.55,2.418764841638376,0.09948351932910682,-0.14784138578854264,97,674
0.4,0.5,0.2,2,0.55,2.418743958383516,0.09948300117093156,-0.14470535461237427,98,674
0.2,0.2,0.2,2,0.55,2.4170296949767165,0.09944045666846435,-0.17862946504134558,90,674
0.4,0.2,0.0,2,0.65,2.416165991586036,0.09941901385881668,-0.14444655740048398,86,674
0.6,0.3,0.0,2,0.65,2.416165991586036,0.09941901385881668,-0.14444655740048398,86,674
0.4,0.5,0.0,2,0.7,2.415039624744506,0.09939104249352138,-0.1260564089316787,59,674
0.6,0.3,0.1,2,0.55,2.414053189964271,0.09936653910415072,-0.1574741384486863,119,674
0.6,0.6,0.1,2,0.6,2.4094007332227374,0.09925088228087842,-0.1349155498901313,84,674
0.6,0.5,0.2,2,0.55,2.4072128012343224,0.0991964414592037,-0.14784138578854264,101,674
0.6,0.5,0.0,2,0.6,2.406821106130198,0.09918669177197215,-0.13201072541072467,57,674
0.5,0.6,0.2,2,0.65,2.405817427630417,0.09916170447689132,-0.14669758368826016,81,674
0.4,0.6,0.0,2,0.7,2.40471762442774,0.09913431628435987,-0.12605640893167885,48,674
0.2,0.3,0.0,2,0.7,2.40471762442774,0.09913431628435987,-0.12605640893167885,48,674
0.3,0.5,0.1,2,0.7,2.404713879303877,0.09913422300629637,-0.1390783918266999,70,674
0.4,0.5,0.1,2,0.7,2.400803766541234,0.09903678394584214,-0.13907839182669965,70,674
0.4,0.6,0.2,2,0.65,2.3956944314144657,0.09890930462308156,-0.14669758368826005,86,674
0.2,0.3,0.1,2,0.65,2.3956944314144657,0.09890930462308156,-0.14669758368826005,86,674
0.2,0.6,0.2,2,0.65,2.3860764825094924,0.09866885316407092,-0.14669758368826014,86,674
0.5,0.4,0.0,2,0.6,2.3855877159313206,0.09865661703849793,-0.13201072541072476,57,674
0.6,0.5,0.0,2,0.65,2.3853898754636256,0.09865166369788292,-0.13559863557581303,52,674
0.4,0.5,0.2,2,0.6,2.380730771165124,0.09853493620645537,-0.14547568226925137,93,674
0.4,0.6,0.1,2,0.65,2.377478543174667,0.09845336806440952,-0.13810238053568152,80,674
0.5,0.3,0.0,2,0.7,2.376821724547934,0.0984368857988378,-0.14146713751426956,63,674
0.3,0.5,0.2,2,0.6,2.369831533596056,0.09826128979013027,-0.14547568226925164,93,674
0.6,0.5,0.2,2,0.6,2.3689444063820284,0.09823898081618765,-0.1483237265013866,96,674
0.3,0.6,0.2,2,0.7,2.368093641606722,0.09821758117120671,-0.14821366279117099,80,674
0.2,0.5,0.2,2,0.6,2.3678663103327615,0.09821186216729783,-0.14130714728860963,90,674
0.5,0.4,0.0,2,0.65,2.3669425260137253,0.0981886187332206,-0.13559863557581278,52,674
0.4,0.4,0.1,2,0.65,2.363310182271297,0.0980971678489273,-0.14804747473652505,69,674
0.5,0.3,0.1,2,0.6,2.3632243578044707,0.09809500595926801,-0.14832372650138684,100,674
0.5,0.5,0.2,2,0.55,2.3618454063346066,0.09806026364991194,-0.14784138578854256,101,674
0.4,0.2,0.0,2,0.6,2.361701343205683,0.09805663325964087,-0.1421746453491593,102,674
0.6,0.3,0.0,2,0.6,2.361701343205683,0.09805663325964087,-0.1421746453491593,102,674
0.5,0.5,0.1,2,0.65,2.358535538032225,0.0979768187163026,-0.14962524929276005,70,674
0.4,0.5,0.2,2,0.65,2.348145010639752,0.09771436965575653,-0.14362459731113564,84,674
0.3,0.2,0.2,2,0.55,2.34751474391623,0.09769842589969646,-0.1786294650413459,97,674
0.3,0.4,0.2,2,0.6,2.346598033638758,0.09767523108143394,-0.17232370765304023,103,674
0.3,0.2,0.0,2,0.7,2.3456214271900726,0.09765051430474303,-0.14146713751426962,63,674
0.6,0.4,0.0,2,0.7,2.3456214271900726,0.09765051430474303,-0.14146713751426962,63,674
0.5,0.4,0.1,2,0.65,2.342486371680882,0.09757112466629003,-0.1480474747365251,70,674
0.6,0.4,0.1,2,0.65,2.3395426236158388,0.09749651696386996,-0.14804747473652533,70,674
0.3,0.2,0.2,2,0.6,2.337734257069382,0.09745065479291282,-0.1723237076530406,83,674
0.3,0.5,0.0,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429643,78,674
0.4,0.2,0.0,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429657,78,674
0.3,0.6,0.2,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429657,78,674
0.3,0.6,0.1,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429657,78,674
0.3,0.5,0.2,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429657,78,674
0.3,0.5,0.1,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429657,78,674
0.3,0.6,0.0,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429643,78,674
0.5,0.2,0.2,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429643,78,674
0.4,0.2,0.1,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429643,78,674
0.6,0.3,0.2,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429643,78,674
0.5,0.6,0.0,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429643,78,674
0.5,0.6,0.1,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429657,78,674
0.5,0.6,0.2,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429657,78,674
0.6,0.2,0.0,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429643,78,674
0.6,0.2,0.1,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429643,78,674
0.6,0.2,0.2,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429643,78,674
0.6,0.3,0.0,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429657,78,674
0.6,0.3,0.1,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429643,78,674
0.6,0.4,0.0,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429657,78,674
0.5,0.5,0.1,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429657,78,674
0.6,0.4,0.1,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429643,78,674
0.6,0.4,0.2,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429643,78,674
0.6,0.5,0.0,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429657,78,674
0.6,0.5,0.1,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429657,78,674
0.6,0.5,0.2,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429643,78,674
0.6,0.6,0.0,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429643,78,674
0.6,0.6,0.1,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429657,78,674
0.6,0.6,0.2,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429657,78,674
0.5,0.5,0.2,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429657,78,674
0.5,0.5,0.0,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429643,78,674
0.4,0.2,0.2,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429643,78,674
0.4,0.6,0.0,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429643,78,674
0.4,0.3,0.0,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429657,78,674
0.4,0.3,0.1,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429643,78,674
0.4,0.3,0.2,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429643,78,674
0.4,0.4,0.0,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429643,78,674
0.4,0.4,0.2,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429643,78,674
0.4,0.5,0.0,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429643,78,674
0.4,0.5,0.1,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429657,78,674
0.4,0.5,0.2,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429657,78,674
0.4,0.6,0.1,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429657,78,674
0.5,0.4,0.2,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429643,78,674
0.4,0.6,0.2,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429657,78,674
0.5,0.2,0.0,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429643,78,674
0.5,0.2,0.1,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429643,78,674
0.5,0.3,0.0,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429657,78,674
0.5,0.3,0.1,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429643,78,674
0.5,0.3,0.2,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429643,78,674
0.5,0.4,0.0,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429657,78,674
0.5,0.4,0.1,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429657,78,674
0.3,0.4,0.2,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429657,78,674
0.4,0.4,0.1,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429657,78,674
0.3,0.3,0.0,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429643,78,674
0.2,0.2,0.2,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429643,78,674
0.2,0.2,0.0,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429643,78,674
0.2,0.5,0.0,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429643,78,674
0.3,0.4,0.0,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429643,78,674
0.2,0.6,0.1,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429657,78,674
0.2,0.4,0.1,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429657,78,674
0.2,0.2,0.1,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429643,78,674
0.2,0.3,0.1,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429657,78,674
0.2,0.3,0.0,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429643,78,674
0.2,0.3,0.2,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429643,78,674
0.3,0.3,0.2,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429643,78,674
0.3,0.3,0.1,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429657,78,674
0.2,0.5,0.1,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429657,78,674
0.2,0.6,0.2,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429657,78,674
0.3,0.2,0.1,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429643,78,674
0.2,0.5,0.2,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429657,78,674
0.2,0.4,0.0,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429643,78,674
0.2,0.6,0.0,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429643,78,674
0.3,0.2,0.2,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429643,78,674
0.3,0.2,0.0,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429657,78,674
0.3,0.4,0.1,3,0.55,2.3373894407546025,0.09744190726771418,-0.16264480901429657,78,674
